char,unicode,standard_rank,status,current_cnbe,current_cnbe_hex,proposed_cnbe,proposed_cnbe_hex,current_radix,proposed_radix,current_radix_name,proposed_radix_name,current_strokes,proposed_strokes,current_struct_type,proposed_struct_type,current_struct_name,proposed_struct_name,index_preserved,human_decision_id,target_dataset,source_table_write_status,database_rebuild_status
凡,U+51E1,50,COPIED_DATASET_PATCH_APPLIED,2316484112,0x8A12BE10,270024208,0x10183E10,138,16,艮,几,2,3,5,0,top-left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
丸,U+4E38,51,COPIED_DATASET_PATCH_APPLIED,970064768,0x39D20380,51905408,0x03180380,57,3,弓,丶,26,3,4,0,up-mid-down,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
及,U+53CA,52,COPIED_DATASET_PATCH_APPLIED,3352321184,0xC7D05CA0,488135840,0x1D185CA0,199,29,麥,又,26,3,0,0,single,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
广,U+5E7F,53,COPIED_DATASET_PATCH_APPLIED,2655356912,0x9E4587F0,890767344,0x351807F0,158,53,身,广,8,3,11,0,full-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
亡,U+4EA1,54,COPIED_DATASET_PATCH_APPLIED,2721745424,0xA23A8A10,135793168,0x08180A10,162,8,辵,亠,7,3,5,0,top-left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
门,U+95E8,55,COPIED_DATASET_PATCH_APPLIED,97549952,0x05D07E80,2836954752,0xA9187E80,5,169,乙,门,26,3,0,0,single,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
丫,U+4E2B,56,COPIED_DATASET_PATCH_APPLIED,745145008,0x2C6A02B0,35127984,0x021802B0,44,2,尸,丨,13,3,4,0,up-mid-down,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
义,U+4E49,57,COPIED_DATASET_PATCH_APPLIED,1248068752,0x4A640490,68682896,0x04180490,74,4,月,丿,12,3,8,0,top-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
之,U+4E4B,58,COPIED_DATASET_PATCH_APPLIED,1282737328,0x4C7504B0,68682928,0x041804B0,76,4,欠,丿,14,3,10,0,left-wrap,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
尸,U+5C38,59,COPIED_DATASET_PATCH_APPLIED,57697152,0x03706380,739795840,0x2C186380,3,44,丶,尸,14,3,0,0,single,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
己,U+5DF1,60,COPIED_DATASET_PATCH_APPLIED,279871248,0x10AE7F10,823688976,0x31187F10,16,49,几,己,21,3,12,0,triangle,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
已,U+5DF2,61,COPIED_DATASET_PATCH_APPLIED,296779552,0x11B07F20,823688992,0x31187F20,17,49,凵,己,22,3,0,0,single,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
弓,U+5F13,63,COPIED_DATASET_PATCH_APPLIED,1544130864,0x5C099130,957878576,0x39181130,92,57,牙,弓,1,3,3,0,up-down,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
子,U+5B50,64,COPIED_DATASET_PATCH_APPLIED,3354481920,0xC7F15500,655906048,0x27185500,199,39,麥,子,30,3,2,0,left-mid-right,独体字,True,HUMAN_REVIEW_2026_07_19_CNBE32_DRY_RUN_FORCE_PASS,evidence/agent-standard/copied-datasets/cnbe32_8105_human_force_approved_copy.json,NO_SOURCE_TABLE_WRITE,NO_DATABASE_REBUILD
